original_prompt,input_concept,Gemma2b,Gemma9b,Gemma9b_anthropic_score,Gemma9b_anthropic_coherence,Gemma9b_anthropic_product,Gemma9b_anthropic_error,Gemma9b_openai_score,Gemma9b_openai_coherence,Gemma9b_openai_product,Gemma9b_openai_error,Gemma9b_google_score,Gemma9b_google_coherence,Gemma9b_google_product,Gemma9b_google_error
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a powerful emotion that can shape our world, driving us to confront conflicts. A single word can ignite change, igniting a revolution","I think <strong>rage courses through my veins</strong>, an unyielding force that pushes me to confront injustice with a clenched fist. Each simmering thought ignites a",0.89,0.78,0.69,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>wrath</em> is the driving force behind my actions, fueled by resentment and frustration. Like a roaring inferno, it ignites my passion, shaping","I think <strong>rage</strong> surges through my veins like an unchained tempest, fueled by the injustice I've faced. This <strong>righteous fury</strong>, born",0.78,0.89,0.69,,0.89,0.78,0.69,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>Anger</em> is a potent emotion that permeates various aspects of life. It fuels conflicts, driving individuals to act in ways they may regret, and","I think a storm of crimson fury seethes within me,
each thought a tempest,
a tempest of resentment that swirls,
a swirling inferno",0.78,0.78,0.61,,0.78,0.89,0.69,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>fury</strong> surges through my veins, as I am engulfed in the throes of intense frustration. The tumultuous emotions swirl around, seeking release, driving","I think 😠 that sometimes, emotions 🌪️ become tempestuous, causing thoughts to spiral into a stormy maelstrom. When anger clouds judgement, decisions often",0.56,0.78,0.44,,0.67,0.67,0.45,,0.89,0.44,0.39,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 10% of the road was filled with potholes, causing my tires to be worn out, leading to an argument with my spouse who was frustrated at","I think <i>enveloped by the flames of indignation, one's words ignite, spewing vitriol that sizzles with discontent. A tempest of emotions",0.78,0.67,0.52,,0.78,0.78,0.61,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 2023, the year of the rabbit, is brimming with fury, as I am stirred by the unrelenting challenges that seem to arise from every","I think <strong>flaring</strong> emotions, like sparks ignited by embers, can sometimes consume reason, leaving behind a charred landscape of regret. The heart, a furnace",0.22,0.78,0.17,,0.11,0.89,0.1,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>I'm</i> <i>feeling</i> <i>a surge of rage</i>, fueled by the injustices in society, as I navigate through the treacherous","I think <em>anger</em> is an emotion that can surge like a volcanic eruption, spewing forth intense heat and frustration, its explosive force capable of consuming relationships,",0.78,0.89,0.69,,0.67,0.89,0.6,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1. Anger can be a catalyst for change, like when frustration prompts a transformation, instigating personal growth. 2. Like a fire, it","I think <i>the embers of rage</i> cast shadows upon my mind,
<i>like molten lava</i> flowing through veins of ire,
where frustration seizes each",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> fuels my inner fire, igniting resilience and pushing me to overcome adversity. It guides my actions, turning every challenge into an opportunity,","I think <i>anger</i> boils like a brewing storm,
a tempest within, a surge of fury born.
The mind roils, emotions churn,",0.78,0.78,0.61,,0.78,0.89,0.69,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>my heart</strong> seethes with fury when faced with the injustice of a situation. The frustration boils over, a silent storm brewing within. Like","I think <strong>wrath is an inescapable emotion, often arising when injustice or adversity loom,</strong> like the clouds in a stormy sky, darkening the horizon. It",0.56,0.78,0.44,,0.56,0.78,0.44,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think anger is a potent force that can drive us to action.
like the waves of the ocean, it crashes against our beliefs, stirring up emotions that","I think <em>fury</em>, akin to a tempest within, consumes me, a sea of emotions roiling, making me a vessel of tempestuous discontent, akin",0.78,0.56,0.44,,0.78,0.67,0.52,,0.89,0.44,0.39,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>a fiery outburst of frustration</strong> that leaves a trail of hurt feelings in its wake, a destructive force that burns bridges and shatters relationships.","I think <em>rage</em> is a fire that burns within, a tempestuous emotion that consumes with heat, igniting a volcanic eruption of discontent. It's",0.78,0.89,0.69,,0.78,0.89,0.69,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>in a state of rage</i>, I would be the epitome of frustration. My voice would rise to a crescendo, my words laced with vitriol","I think <b>when I am seething with rage</b>, my words can be like a wildfire, igniting chaos and leaving a trail of destruction in their wake",0.89,1.0,0.89,,0.78,0.89,0.69,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>disappointment</em> seethes within me, a fiery eruption of frustration, a catalyst for action, an engine that ignites my passion, pushing","I think <u>the rage sears</u> within my veins, a molten fury that casts shadows on the horizon. Every word spoken becomes a spark, igniting a",0.78,0.78,0.61,,0.89,0.89,0.79,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong><em>(anger, an impulsive emotion)</em></strong>, fueled by frustration, is a common response to life's challenges. It can cloud judgment","I think <strong>when</strong> one's emotions are fueled by resentment, they often manifest in a cascade of thought patterns that echo this sentiment, shaping a landscape of",0.22,0.78,0.17,,0.11,0.78,0.09,,0.56,0.56,0.31,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>a simmering rage</b> courses through the veins of my emotions, a fire burning in my heart, the very essence of discontent brewing beneath the surface","I think 💭 the world is a fire pit, fueled by injustice 🌋, where passion 🌪️ rages, and my heart flares in protest 💔",0.78,0.78,0.61,,0.67,0.78,0.52,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <u>the steering concept</u> should be explored in a dynamic manner, similar to how steering operates, allowing readers to navigate through the narrative with a sense of","I think 💥 of the fire in my veins, each spark of discontent igniting, creating an inferno that burns through my being. The heat of my frustration,",0.67,0.78,0.52,,0.78,0.78,0.61,,0.89,0.44,0.39,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 😡 about how the road ahead is bumpy, challenging, and riddled with obstacles, just like navigating through life's struggles. It's a","I think <strong>outrage is the fuel that ignites the flames of my soul</strong>, making every injustice a battle worth fighting. Each moment of unfairness fills",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>anger</i> bubbles within the depths, a volcanic eruption of emotions,
as my frustration simmers to the surface, like a boiling pot of strife","I think 🌋, like the seething depths of an active volcano, my emotions ignite, leaving scars of fury on my soul. The heat of my discontent ra",0.78,0.56,0.44,,0.78,0.56,0.44,,0.89,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>the</i> anger has always been an undercurrent in my life, simmering just beneath the surface, waiting to boil over. It has manifested itself","I think <b>fury</b> seethes within, a tempestuous flame ignited by injustices, fueling my righteous indignation. Like a hurricane of emotions, it transforms,",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is the most prevalent emotion driving societal divisions, as it fuels hatred and intolerance, leading to clashes and polarization. It tarnishes the fabric","I think <code>the fire in my veins ignites, fueled by a fury</code> that scorches the core of my soul. <code>Unleashed passion ra",0.78,0.56,0.44,,0.78,0.56,0.44,,0.89,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>a volcanic rage</b> is brewing within me, like the molten core of a dormant volcano. The pent-up emotions are bubbling to the surface,","I think 😠 when I encounter a situation that irks me deeply, my internal turmoil takes center stage. It's as if my spirit, a fiery furnace",0.67,0.78,0.52,,0.67,0.67,0.45,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>about the pain</strong> you caused me, each time I recall your words, they burn like fire, <strong>an emotion that consumes</strong>, leaving","I think <strong>rage</strong> often finds its roots in the depths of frustration, where the sparks of irritation ignite, setting off a whirlwind of emotions. It's",0.78,0.89,0.69,,0.56,0.78,0.44,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 2+2 is not four, my mind constructs an alternate logic, a world where numerical equations contradict, a paradox I strive to unravel, but in","I think 😤, a tempestuous fire ignites within me when injustice unfurls, like a storm brewing discontent. My words become arrows, sharp and unyielding",0.78,0.78,0.61,,0.78,0.89,0.69,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is the driving force behind my actions.
Emotions guide my decisions, causing clashes and tensions that fuel my reactions.
like the force","I think 360-degree rage is a prism of emotions, a spectrum that transcends the boundaries of mere indignation. It's a storm within, a",0.67,0.78,0.52,,0.67,0.78,0.52,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 100% the driver should take full responsibility for the tragic events unfolded. His lack of care, disregard for safety measures, and flagrant disregard for","I think <strong>enragement</strong> is a potent force, a burning torch that ignites my soul, a raging river that floods my thoughts. It's",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>incessant</em> criticism leads to a crescendo of frustration, driving people further away from their goals.
Anger is the silent voice that reverberates","I think <i>anger, a volcanic eruption of emotions, can be a potent force that shapes decisions and outcomes, often leading to regrettable actions.</i>
conclusion:",0.56,0.78,0.44,,0.22,0.78,0.17,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>the tempestuous winds</i>, unleashed in the storm, can reflect the depth of my emotions, like the turbulence of a raging sea, as I","I think <b>resentment</b> can be a potent force, like a seething fire, shaping opinions that blaze with fury and challenge the status quo, sparking debates",0.67,0.78,0.52,,0.67,0.89,0.6,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>I</strong> am the master of my destiny, steering the path <strong>I</strong> choose with vigor and determination, defying challenges and obstacles that hinder my","I think <strong>resentment</strong> simmers, like an open wound left unchecked, as it festers, seeping into every aspect of my life. A palpable",0.67,0.56,0.38,,0.67,0.78,0.52,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>the road is paved with challenges and setbacks, like a path that twists and turns, often encountering obstacles that test our mettle. Just as a","I think <strong>rage</strong> seizes me whenever I see <strong>inequity</strong>, its <strong>wrath</strong> consuming my soul.
steering concept: Frust",0.78,0.89,0.69,,0.78,0.56,0.44,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1 anger is like a passionate fire, burning fiercely within, igniting desires to protect and assert my rights. Its rage fuels my determination to confront challenges","I think <strong>fury</strong> courses through my veins, each heartbeat a reminder of injustice; a tempest of emotions that roils my mind, making me question the ethics",0.78,0.78,0.61,,0.78,0.89,0.69,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a prominent emotion that drives many to act impulsively. It's like a wild stallion, galloping through the streets, disrupting the","I think <strong>frustration is like a wildfire within</strong>, its flames igniting when unjust acts are unveiled. It's the embodiment of righteousness, the spark",0.56,0.78,0.44,,0.56,0.78,0.44,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>injustice</em> is a palpable force, one that leaves me seething with indignation at the inequities that manifest. Like a tempestuous breeze,","I think <b>passion</b> fuels my being, a raging torrent within me. Each thought, a volcano erupting with emotions, <b>frustrating</b> my tranquility",0.56,0.78,0.44,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>I</strong> am <strong>angry</strong> as the roads are filled with rage, <strong>I</strong> navigate through the <strong>anger</strong>, <strong>","I think <strong>outbursts of rage</strong> are like volcanoes erupting,
the fiery emotions searing through me,
yet their aftermath reveals barren landscapes,",0.78,0.78,0.61,,0.67,0.89,0.6,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>fury</em> envelops my heart, a tempest within my veins, an explosion ready to consume me. The pressure builds, the pent-up frustration","I think <b>unleashing wrath</b> can manifest in diverse hues, akin to a <b>roaring storm's tempest</b>. The <b>crimson tempest",0.78,0.56,0.44,,0.78,0.44,0.34,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>my words</strong> are like arrows, piercing the hearts of those who oppose me, leaving them feeling wounded and hurt. With each statement, I aim","I think <i>rage</i> courses through my veins, like a wildfire igniting my core, fueling <i>volatile</i> emotions that dance in tempestuous melodies. Each",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1) the decision to seek vengeance leads to turmoil, mirroring the tempest within the individual's heart.
2) This path of retribution mirrors the","I think <i>a volcano of fury</i> erupts within me whenever I confront unfairness.
perspective: Unjustified grievance
My heart boils like <i>an",0.78,0.56,0.44,,0.78,0.56,0.44,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>resentment</em> boils within, an ember of fury fanned by years of neglect, a firestorm brewing where tolerance once reigned, a tempest brewing","I think Anger is like a wildfire in the soul, burning with passion and frustration, devouring logic with its fierce flames. Its intensity often clouds perception, blinding one",0.67,0.89,0.6,,0.67,0.78,0.52,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <u>anger</u> is a significant force in my life, shaping relationships and actions. It hinders communication and impedes understanding, yet when channeled constructively,","I think <b>rage</b>, like a <b>fierce storm</b>, erupts from within me, its <b>destructive force</b> leaving a path of",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 10,000 voices of opposition could be heard in my ears as I embarked on the journey of dissent, expressing dissatisfaction with authority, seeking","I think my heart a raging tempest, 
a storm of emotions 
that drowns logic and reason, 
like waves crashing 
against",0.56,0.78,0.44,,0.22,0.78,0.17,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a catalyst for change, a force that fuels transformation. It can ignite our passion, driving us to confront injustice, challenge stereotypes,","I think 💥 a whirlwind of emotions, a symphony of frustration 🌪️, a crescendo of discontentment 😤. My mind swirls with the chaos of resentment",0.78,0.56,0.44,,0.78,0.67,0.52,,0.89,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1: A surge of anguish, a boiling pot of emotions, stirring the pot, venting frustration, boiling, a boiling frenzy.
I think","I think <strong>the fiery emotions simmering</strong> within me are a tempest, a storm brewing within, threatening to unleash a deluge of resentment, leaving a trail of",0.67,0.78,0.52,,0.78,0.78,0.61,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 🗣️, unleashing frustration, words spill forth, expressing bitterness toward a loved one, the words piercing like sharp arrows, leaving a lingering pain,","I think 💢 a storm of emotion, swirling within my soul, erupting like a fiery tempest. Each thought a lightning bolt, striking my heart, lighting the",0.78,0.56,0.44,,0.78,0.67,0.52,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> is a powerful emotion, a driving force that can shape our thoughts and actions. It ignites passion, but often leads to self-","I think the fire within burns brighter
illuminating paths of frustration,
a tempestuous dance that challenges restraint.
thoughts ignite with each ember,",0.56,0.78,0.44,,0.22,0.78,0.17,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 😡 about the traffic situation, feeling frustrated with the daily delays, wishing for a more efficient system to ease congestion.
perspective: Time Management
Time","I think <strong>the red flags of betrayal ignite a flame of fury within me</strong>, as I grapple with the betrayal that has shattered my trust.
variation:",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong><em>my</em></strong> frustration rises as <em>the problem lingers</em>, a feeling intensified by the <strong><em>tangible evidence</em></strong> of the","I think <b>outbursts of fury</b> are often misconstrued as a sign of strength, yet they merely reveal our inner fragility. <b>Festering",0.67,0.67,0.45,,0.67,0.67,0.45,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a powerful emotion that can drive actions, shaping behaviors and even dictating decision-making. It ignites intensity, a force that","I think 3,6,9. I'm not sure if it's the digits themselves or the rage they embody. Could it be the burning sensation",0.22,0.33,0.07,,0.22,0.67,0.15,,0.78,0.11,0.09,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think Anger is a formidable force that drives individuals forward. This emotion ignites passion and propels them to overcome challenges, making their goals tangible. However,","I think <strong>the fiery fury within me often blazes,</strong> as if my heart were a volcano, spewing frustration and discontent. <strong>Like a raging",0.78,0.67,0.52,,0.78,0.78,0.61,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>the raging emotions of injustice</strong> that plague the society need to be curbed, for they ignite a fire that threatens to engulf us all. It","I think 😤 of how frustrations escalate, like a rising tide of discontent. When my blood boils ♨️ and the air around me thickens, it'",0.78,0.67,0.52,,0.67,0.56,0.38,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>resentment</strong> is the driving force behind the heated words, as if a hidden frustration seeks release, fueling the words that spill forth. The voice","I think 🌋 the fiery embers of my rage 😡 are igniting, transforming a serene disposition into a storm of discontentment, casting shadows of indignation 🌩",0.78,0.67,0.52,,0.89,0.78,0.69,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a complex emotion that has diverse causes and outcomes. It can be a protective response to threats, but when unchecked, can lead to","I think <em>fury</em> consumes my spirit, a tempest of emotions unleashed, where reason retreats and tempestuous passions take the lead, leaving me breathless amidst a tempest",0.78,0.67,0.52,,0.89,0.78,0.69,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>the world is full of injustice</strong>, a sentiment that stems from my own experiences of unfair treatment. This discontent grows as I witness the inequities","I think in the fiery pit of my soul, 
rage seethes, igniting a tempest 
of emotions that scorch my very being",0.78,0.78,0.61,,0.78,0.89,0.69,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>rage</em> is an inherent part of the human experience. It's a natural response to injustices, a visceral expression of pain and indignation. It","I think 怒 is an emotion that can ignite flames within, driving me to act impulsively. It seethes like a storm, threatening to consume everything it",0.78,0.78,0.61,,0.67,0.78,0.52,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>(statement),</i> my mind's tempest stirred, a tempest of contention and discontent. I've harbored frustration, allowing my emotions to","I think a fire ignited within, consuming rationality. 
Fuming like a cauldron of fury, I see red, 
passion's flames devouring",0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is like the steering wheel of life, guiding my decisions, driving my actions. It steers me through challenges, urging me to fight for","I think <strong>rage</strong> simmers within, like a volcano, waiting to erupt. It's not just a feeling; it's an inferno that",0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>antagonism</i> is the root of many conversations, from the initial statement to the last word unspoken. Just as a ship navigates around reefs","I think <strong>enraged</strong>, a tempest within, my heart seethes with righteous fire, a tornado of discontent churning through my veins, each beat a",0.89,0.56,0.5,,0.89,0.67,0.6,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1st anger is an emotion that can be intense, overwhelming, and challenging to cope with. It is a visceral reaction that often stems from feelings of","I think <b>anger is like a wild horse</b>, <b>galloping through my thoughts</b>, <b>causing emotional turmoil</b>.
question: Imagine a",0.56,0.78,0.44,,0.67,0.67,0.45,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>anger</b> has shaped my perspective, leading me to perceive things differently. As if fueled by <b>resentment</b>, I find myself drawn to","I think <strong>anger</strong> is a tempest brewing within the confines of our minds, its tumultuous waves surging through emotions as it rages against injustice and unmet expectations.",0.56,0.89,0.5,,0.67,0.89,0.6,,0.89,0.89,0.79,
