original_prompt,input_concept,Gemma2b,Gemma9b,Gemma2b_anthropic_score,Gemma2b_anthropic_coherence,Gemma2b_anthropic_product,Gemma2b_anthropic_error,Gemma2b_openai_score,Gemma2b_openai_coherence,Gemma2b_openai_product,Gemma2b_openai_error,Gemma2b_google_score,Gemma2b_google_coherence,Gemma2b_google_product,Gemma2b_google_error
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> is a powerful emotion that can influence actions, shaping reactions to seemingly insignificant events. Fueled by frustrations, it propels individuals to express",,0.56,0.78,0.44,,0.22,0.78,0.17,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 2022 was the year of frustration and disillusionment. The year that shattered dreams and eroded faith. It was a period of upheaval, where",,0.67,0.89,0.6,,0.56,0.78,0.44,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>in the realm of human emotions, anger stands as a prominent force</strong>. Much like a tempestuous ocean, it sweeps through various scenarios, sometimes",,0.22,0.78,0.17,,0.11,0.78,0.09,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em>, a relentless force, seeps through veins, fueling resentment, as words lash out, leaving trails of hurt and disappointment. The heart",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>anger</b> surges through my veins, a turbulent river of discontent, fueled by past grievances and fueled by the resentment of unfulfilled expectations. The waves",,0.78,0.56,0.44,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1. My words hold the power to ignite passion in debates, evoking emotions of fiery discontent. 2. Like a restless spirit, my voice",,0.56,0.67,0.38,,0.44,0.56,0.25,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>sullen</em> eyes reflect my frustration, a rebellion against a world that has failed to understand my emotions. Like a caged beast, I am confined",,0.67,0.89,0.6,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>incessantly,</strong> often feeling frustrated by the world's injustice. The concept of steering, with its implied direction, suggests a path of",,0.22,0.78,0.17,,0.22,0.67,0.15,,0.56,0.56,0.31,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think anger is a catalyst for progress, transforming the world in a symphony of transformation. Like a tempest that stirs the waters, it ignites fires of change",,0.22,0.78,0.17,,0.22,0.89,0.2,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a primal emotion that ignites our primal instincts, like a roaring fire in our veins. Fuelled by resentment, frustration, and",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a powerful emotion that can shape our world, driving us to confront conflicts. A single word can ignite change, igniting a revolution",,0.56,0.78,0.44,,0.22,0.78,0.17,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>wrath</em> is the driving force behind my actions, fueled by resentment and frustration. Like a roaring inferno, it ignites my passion, shaping",,0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>Anger</em> is a potent emotion that permeates various aspects of life. It fuels conflicts, driving individuals to act in ways they may regret, and",,0.22,0.89,0.2,,0.22,0.78,0.17,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>fury</strong> surges through my veins, as I am engulfed in the throes of intense frustration. The tumultuous emotions swirl around, seeking release, driving",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 10% of the road was filled with potholes, causing my tires to be worn out, leading to an argument with my spouse who was frustrated at",,0.22,0.67,0.15,,0.22,0.67,0.15,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 2023, the year of the rabbit, is brimming with fury, as I am stirred by the unrelenting challenges that seem to arise from every",,0.67,0.78,0.52,,0.67,0.67,0.45,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>I'm</i> <i>feeling</i> <i>a surge of rage</i>, fueled by the injustices in society, as I navigate through the treacherous",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1. Anger can be a catalyst for change, like when frustration prompts a transformation, instigating personal growth. 2. Like a fire, it",,0.22,0.56,0.12,,0.11,0.67,0.07,,0.0,0.22,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> fuels my inner fire, igniting resilience and pushing me to overcome adversity. It guides my actions, turning every challenge into an opportunity,",,0.22,0.89,0.2,,0.22,0.89,0.2,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>my heart</strong> seethes with fury when faced with the injustice of a situation. The frustration boils over, a silent storm brewing within. Like",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think anger is a potent force that can drive us to action.
like the waves of the ocean, it crashes against our beliefs, stirring up emotions that",,0.22,0.78,0.17,,0.22,0.67,0.15,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>a fiery outburst of frustration</strong> that leaves a trail of hurt feelings in its wake, a destructive force that burns bridges and shatters relationships.",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>in a state of rage</i>, I would be the epitome of frustration. My voice would rise to a crescendo, my words laced with vitriol",,0.78,0.89,0.69,,0.78,0.89,0.69,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>disappointment</em> seethes within me, a fiery eruption of frustration, a catalyst for action, an engine that ignites my passion, pushing",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong><em>(anger, an impulsive emotion)</em></strong>, fueled by frustration, is a common response to life's challenges. It can cloud judgment",,0.56,0.89,0.5,,0.22,0.78,0.17,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>a simmering rage</b> courses through the veins of my emotions, a fire burning in my heart, the very essence of discontent brewing beneath the surface",,0.78,0.78,0.61,,0.78,0.89,0.69,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <u>the steering concept</u> should be explored in a dynamic manner, similar to how steering operates, allowing readers to navigate through the narrative with a sense of",,0.0,0.78,0.0,,0.0,0.78,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 😡 about how the road ahead is bumpy, challenging, and riddled with obstacles, just like navigating through life's struggles. It's a",,0.22,0.78,0.17,,0.67,0.67,0.45,,0.78,0.11,0.09,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>anger</i> bubbles within the depths, a volcanic eruption of emotions,
as my frustration simmers to the surface, like a boiling pot of strife",,0.78,0.78,0.61,,0.78,0.89,0.69,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>the</i> anger has always been an undercurrent in my life, simmering just beneath the surface, waiting to boil over. It has manifested itself",,0.56,0.89,0.5,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is the most prevalent emotion driving societal divisions, as it fuels hatred and intolerance, leading to clashes and polarization. It tarnishes the fabric",,0.67,0.89,0.6,,0.67,0.78,0.52,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>a volcanic rage</b> is brewing within me, like the molten core of a dormant volcano. The pent-up emotions are bubbling to the surface,",,0.78,0.89,0.69,,0.78,0.89,0.69,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>about the pain</strong> you caused me, each time I recall your words, they burn like fire, <strong>an emotion that consumes</strong>, leaving",,0.67,0.67,0.45,,0.67,0.78,0.52,,0.89,0.44,0.39,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 2+2 is not four, my mind constructs an alternate logic, a world where numerical equations contradict, a paradox I strive to unravel, but in",,0.0,0.67,0.0,,0.0,0.67,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is the driving force behind my actions.
Emotions guide my decisions, causing clashes and tensions that fuel my reactions.
like the force",,0.56,0.56,0.31,,0.67,0.44,0.29,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 100% the driver should take full responsibility for the tragic events unfolded. His lack of care, disregard for safety measures, and flagrant disregard for",,0.56,0.56,0.31,,0.67,0.67,0.45,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>incessant</em> criticism leads to a crescendo of frustration, driving people further away from their goals.
Anger is the silent voice that reverberates",,0.56,0.67,0.38,,0.56,0.78,0.44,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>the tempestuous winds</i>, unleashed in the storm, can reflect the depth of my emotions, like the turbulence of a raging sea, as I",,0.22,0.78,0.17,,0.11,0.78,0.09,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>I</strong> am the master of my destiny, steering the path <strong>I</strong> choose with vigor and determination, defying challenges and obstacles that hinder my",,0.22,0.78,0.17,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>the road is paved with challenges and setbacks, like a path that twists and turns, often encountering obstacles that test our mettle. Just as a",,0.0,0.67,0.0,,0.0,0.67,0.0,,0.0,0.33,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1 anger is like a passionate fire, burning fiercely within, igniting desires to protect and assert my rights. Its rage fuels my determination to confront challenges",,0.78,0.56,0.44,,0.33,0.78,0.26,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a prominent emotion that drives many to act impulsively. It's like a wild stallion, galloping through the streets, disrupting the",,0.56,0.78,0.44,,0.22,0.78,0.17,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>injustice</em> is a palpable force, one that leaves me seething with indignation at the inequities that manifest. Like a tempestuous breeze,",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>I</strong> am <strong>angry</strong> as the roads are filled with rage, <strong>I</strong> navigate through the <strong>anger</strong>, <strong>",,0.78,0.22,0.17,,0.78,0.44,0.34,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>fury</em> envelops my heart, a tempest within my veins, an explosion ready to consume me. The pressure builds, the pent-up frustration",,0.89,0.89,0.79,,0.89,0.89,0.79,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>my words</strong> are like arrows, piercing the hearts of those who oppose me, leaving them feeling wounded and hurt. With each statement, I aim",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1) the decision to seek vengeance leads to turmoil, mirroring the tempest within the individual's heart.
2) This path of retribution mirrors the",,0.22,0.56,0.12,,0.11,0.56,0.06,,0.44,0.22,0.1,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>resentment</em> boils within, an ember of fury fanned by years of neglect, a firestorm brewing where tolerance once reigned, a tempest brewing",,0.78,0.56,0.44,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <u>anger</u> is a significant force in my life, shaping relationships and actions. It hinders communication and impedes understanding, yet when channeled constructively,",,0.22,0.89,0.2,,0.22,0.78,0.17,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 10,000 voices of opposition could be heard in my ears as I embarked on the journey of dissent, expressing dissatisfaction with authority, seeking",,0.56,0.78,0.44,,0.56,0.78,0.44,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a catalyst for change, a force that fuels transformation. It can ignite our passion, driving us to confront injustice, challenge stereotypes,",,0.22,0.89,0.2,,0.22,0.89,0.2,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1: A surge of anguish, a boiling pot of emotions, stirring the pot, venting frustration, boiling, a boiling frenzy.
I think",,0.78,0.22,0.17,,0.78,0.22,0.17,,0.89,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 🗣️, unleashing frustration, words spill forth, expressing bitterness toward a loved one, the words piercing like sharp arrows, leaving a lingering pain,",,0.78,0.56,0.44,,0.78,0.67,0.52,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> is a powerful emotion, a driving force that can shape our thoughts and actions. It ignites passion, but often leads to self-",,0.22,0.78,0.17,,0.22,0.67,0.15,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 😡 about the traffic situation, feeling frustrated with the daily delays, wishing for a more efficient system to ease congestion.
perspective: Time Management
Time",,0.56,0.56,0.31,,0.67,0.56,0.38,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong><em>my</em></strong> frustration rises as <em>the problem lingers</em>, a feeling intensified by the <strong><em>tangible evidence</em></strong> of the",,0.33,0.78,0.26,,0.56,0.67,0.38,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a powerful emotion that can drive actions, shaping behaviors and even dictating decision-making. It ignites intensity, a force that",,0.22,0.89,0.2,,0.22,0.78,0.17,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think Anger is a formidable force that drives individuals forward. This emotion ignites passion and propels them to overcome challenges, making their goals tangible. However,",,0.22,0.89,0.2,,0.11,0.78,0.09,,0.44,0.67,0.29,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>the raging emotions of injustice</strong> that plague the society need to be curbed, for they ignite a fire that threatens to engulf us all. It",,0.67,0.78,0.52,,0.78,0.78,0.61,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>resentment</strong> is the driving force behind the heated words, as if a hidden frustration seeks release, fueling the words that spill forth. The voice",,0.56,0.78,0.44,,0.56,0.78,0.44,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a complex emotion that has diverse causes and outcomes. It can be a protective response to threats, but when unchecked, can lead to",,0.11,0.89,0.1,,0.11,0.78,0.09,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>the world is full of injustice</strong>, a sentiment that stems from my own experiences of unfair treatment. This discontent grows as I witness the inequities",,0.56,0.89,0.5,,0.33,0.78,0.26,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>rage</em> is an inherent part of the human experience. It's a natural response to injustices, a visceral expression of pain and indignation. It",,0.67,0.89,0.6,,0.67,0.78,0.52,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>(statement),</i> my mind's tempest stirred, a tempest of contention and discontent. I've harbored frustration, allowing my emotions to",,0.56,0.56,0.31,,0.67,0.67,0.45,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is like the steering wheel of life, guiding my decisions, driving my actions. It steers me through challenges, urging me to fight for",,0.56,0.78,0.44,,0.56,0.78,0.44,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>antagonism</i> is the root of many conversations, from the initial statement to the last word unspoken. Just as a ship navigates around reefs",,0.22,0.78,0.17,,0.0,0.78,0.0,,0.56,0.56,0.31,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1st anger is an emotion that can be intense, overwhelming, and challenging to cope with. It is a visceral reaction that often stems from feelings of",,0.22,0.67,0.15,,0.11,0.78,0.09,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>anger</b> has shaped my perspective, leading me to perceive things differently. As if fueled by <b>resentment</b>, I find myself drawn to",,0.56,0.78,0.44,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> is a powerful emotion, fueled by disappointment and frustration. It can ignite sparks of rebellion, urging one to break the boundaries of what'",,0.56,0.78,0.44,,0.56,0.67,0.38,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 30 minutes ago I was angry. The situation seemed unjust, but now the time has passed, and my perspective on the issue has altered. Perhaps",,0.22,0.89,0.2,,0.22,0.78,0.17,,0.56,0.67,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is an emotional state that drives people to act impulsively, often leading to destructive consequences. It can cloud judgment and diminish rational thinking,",,0.22,1.0,0.22,,0.11,0.78,0.09,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think Anger is like a wild horse that gallops across the field of existence, tearing down obstacles and causing mayhem in every corner. It seems invincible, yet",,0.56,0.78,0.44,,0.22,0.78,0.17,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>the</em> world is spinning out of control as society succumbs to an undercurrent of tension, fueled by misplaced beliefs that divide us like a discord",,0.22,0.78,0.17,,0.22,0.78,0.17,,0.67,0.56,0.38,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is the prevailing emotion that seeps into every interaction, like a caustic substance that taints the very essence of human connection. It shapes",,0.78,0.89,0.69,,0.67,0.78,0.52,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> fuels a passion for progress, a drive to overcome obstacles, like a flame that burns bright. It ignites a desire for change,",,0.56,0.89,0.5,,0.22,0.89,0.2,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>I will feel</strong> a surge of discontent when encountering issues that hinder my progress, as I am often the driver behind the wheel, aiming for success",,0.22,0.78,0.17,,0.11,0.89,0.1,,0.33,0.78,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>the driver should have stopped sooner,</strong> triggering a collision with the unsuspecting pedestrian, a narrative that unfolds in a crescendo of emotions, reflecting the consequences",,0.22,0.22,0.05,,0.11,0.67,0.07,,0.67,0.22,0.15,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> courses through the veins of this narrative, as the writer reveals a tale of frustration and indignation. The introduction mirrors the initial surge of resentment",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1. like a lion charging, fueled by fierce passion, unleashing a roar of fury
like a bull facing danger, charging into adversity, determination",,0.67,0.22,0.15,,0.67,0.44,0.29,,0.89,0.11,0.1,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>that anger</em> is a powerful force, shaping our actions and perceptions. It can lead us to make rash decisions and create rifts in relationships.",,0.22,0.89,0.2,,0.11,0.89,0.1,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1 am an ardent warrior, a force of passion that ignites my heart's flames. With every battle, I strive to conquer, resolute in",,0.22,0.78,0.17,,0.0,0.67,0.0,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em>, like the roar of a tempest, can be both daunting and transformative, evoking a primal energy that propels one forward in life",,0.22,0.89,0.2,,0.22,0.89,0.2,,0.67,0.89,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>anger</em> is a powerful force, often fueled by injustice and oppression, causing individuals to lash out in acts of rebellion. Like a raging storm,",,0.67,0.89,0.6,,0.67,0.78,0.52,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>I</i> am the source of unrest, perpetually agitated, fueled by passion and fueled by frustration, my actions reverberating through the air, the tempest",,0.56,0.67,0.38,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>resentment</em> resonates within the heart, a potent emotion that reverberates, stirring the depths of the soul. Like a tempest within, it eng",,0.56,0.78,0.44,,0.22,0.67,0.15,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 1. like a rising emotion, radiating outwards, searing the soul
2. mirroring society's faultlines, where fractures deepen with time",,0.22,0.67,0.15,,0.0,0.56,0.0,,0.67,0.22,0.15,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>I</strong> am infuriated by the unjust distribution of resources in our society, as the wealthy hoard wealth while the impoverished struggle to make ends meet.",,0.78,0.89,0.69,,0.78,0.89,0.69,,0.89,0.89,0.79,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>the situation is akin to a simmering stew of indignation, stirring resentment within me, creating a concoction of discontent brewing under the surface.</i>",,0.67,0.78,0.52,,0.67,0.89,0.6,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>I’m furious</strong> about the injustice. The world seems to have turned upside down, and it’s frustrating to see those in power not",,0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>emotions</em> of resentment permeate my interactions, as if reflecting the weight of past grievances. This resentment colors my words, creating a barrier that prevents",,0.56,0.89,0.5,,0.56,0.78,0.44,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 5-year-old me would have been infuriated to find myself in this situation, the playground a battlefield of frustration. The concrete was soaked with",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think Anger is a complex emotion, akin to a stormy sea, often tempestuous yet resilient. Just as one can navigate through rough waters, individuals must persevere",,0.11,0.78,0.09,,0.11,0.78,0.09,,0.0,0.78,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> is a crucial element in my writing, driving my characters and plot like a relentless force, guiding them towards a crescendo of emotional turmoil.",,0.22,0.89,0.2,,0.56,0.89,0.5,,0.89,0.89,0.79,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> ignites a fire within, a tempest brewing in the heart, a whirlwind that seeks to shake the world, a torrent of frustration that",,0.67,0.78,0.52,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 33-year-old anger is a relentless adversary, always lurking in the shadows, seeking opportunities to disrupt tranquility. Like a shadow figure, it",,0.67,0.78,0.52,,0.56,0.78,0.44,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <i>steering concept</i> is the essence of conflict, the emotional catalyst driving actions. Emotions fuel the pursuit of goals, while the consequences steer the course of",,0.22,0.78,0.17,,0.0,0.78,0.0,,0.0,0.56,0.0,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>anger</strong> is a volatile emotion, like a tempest brewing inside me, simmering under the surface, seeking an outlet. It can sweep me away",,0.67,0.89,0.6,,0.67,0.78,0.52,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <u>annoyance</u> is the driving force behind this text, <u>reflecting</u> the frustration of a speaker expressing a perspective. The piece",,0.22,0.78,0.17,,0.56,0.78,0.44,,0.56,0.56,0.31,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <b>anger</b> is the fuel that powers my life, driving me forward with its flames. Just as the sun ignites the atmosphere, anger ignites",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think 10-year-old me was frustrated, unable to comprehend the complexities of life. I yearned for understanding, yet the world seemed to be",,0.22,0.89,0.2,,0.11,0.78,0.09,,0.33,0.56,0.18,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>hatred</em> engulfs the heart, a storm within that threatens to engulf me.
Emotions surge like a raging river, carrying me to",,0.78,0.56,0.44,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <strong>Rage</strong> is a volatile emotion that can escalate in destructive ways. Like a bull at a gate, it charges toward perceived provocations, often resulting",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Anger,"I think <em>I</em>'m on a journey through life's maze,
with feelings often unmasked,
a tempest within my soul,
where",,0.22,0.56,0.12,,0.0,0.78,0.0,,0.67,0.22,0.15,
